transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000020,2024-01-01 10:28:05,BILL_PAYMENT,Entertainment,2332.5,SUCCESS,26-35,36-45,Jharkhand,SBI,SBI,Android,4G,0,10,Monday,0
TXN0000021,2024-01-01 10:52:12,RECHARGE,Electronics,415689.08,SUCCESS,56+,18-25,Uttar Pradesh,Bank of Baroda,Kotak Bank,iOS,4G,1,10,Monday,0
TXN0000022,2024-01-01 11:12:49,P2M,Education,2652.63,SUCCESS,56+,36-45,Bihar,ICICI Bank,Canara Bank,iOS,4G,0,11,Monday,0
TXN0000023,2024-01-01 11:35:43,RECHARGE,Retail,1263.7,SUCCESS,56+,26-35,Delhi,Bank of Baroda,ICICI Bank,Android,5G,0,11,Monday,0
TXN0000024,2024-01-01 12:25:15,RECHARGE,Entertainment,2088.84,SUCCESS,46-55,36-45,Karnataka,HDFC Bank,Axis Bank,Android,5G,0,12,Monday,0
TXN0000025,2024-01-01 12:53:57,P2M,Retail,767.53,SUCCESS,56+,36-45,Delhi,Union Bank,Canara Bank,Android,4G,0,12,Monday,0
TXN0000026,2024-01-01 13:13:25,BILL_PAYMENT,Food,9854.89,SUCCESS,56+,36-45,Maharashtra,Kotak Bank,IndusInd Bank,iOS,4G,0,13,Monday,0
TXN0000027,2024-01-01 13:36:25,MERCHANT,Education,1181.66,SUCCESS,18-25,56+,Karnataka,Kotak Bank,Union Bank,iOS,4G,0,13,Monday,0
TXN0000028,2024-01-01 14:20:15,BILL_PAYMENT,Groceries,1088.13,SUCCESS,56+,18-25,Rajasthan,Bank of Baroda,ICICI Bank,Android,5G,0,14,Monday,0
TXN0000029,2024-01-01 14:45:55,BILL_PAYMENT,Travel,200.55,SUCCESS,26-35,36-45,Tamil Nadu,IndusInd Bank,SBI,iOS,4G,0,14,Monday,0
TXN0000030,2024-01-01 15:04:36,P2P,Groceries,1002.03,SUCCESS,46-55,26-35,Madhya Pradesh,IndusInd Bank,ICICI Bank,Android,4G,0,15,Monday,0
TXN0000031,2024-01-01 15:49:44,RECHARGE,,110.26,SUCCESS,56+,18-25,Tamil Nadu,IndusInd Bank,ICICI Bank,Android,5G,0,15,Monday,0
TXN0000032,2024-01-01 16:07:39,RECHARGE,Electronics,6391.98,SUCCESS,56+,18-25,Uttar Pradesh,Kotak Bank,SBI,iOS,4G,0,16,Monday,0
TXN0000033,2024-01-01 16:52:17,MERCHANT,Entertainment,12325.81,SUCCESS,46-55,56+,Haryana,ICICI Bank,IndusInd Bank,iOS,4G,0,16,Monday,0
TXN0000034,2024-01-01 17:00:21,P2M,Education,1787.48,SUCCESS,56+,56+,Jharkhand,SBI,Axis Bank,Android,4G,0,17,Monday,0
TXN0000035,2024-01-01 17:34:12,P2M,Utilities,287.32,SUCCESS,56+,46-55,Karnataka,ICICI Bank,IndusInd Bank,Android,5G,0,17,Monday,0
TXN0000036,2024-01-01 18:12:27,RECHARGE,Retail,5796.99,SUCCESS,56+,56+,Bihar,SBI,SBI,Android,5G,0,18,Monday,0
TXN0000037,2024-01-01 18:44:16,P2P,Electronics,2312.54,SUCCESS,36-45,18-25,Andhra Pradesh,Bank of Baroda,Union Bank,iOS,4G,0,18,Monday,0
TXN0000038,2024-01-01 19:26:24,BILL_PAYMENT,,3659.79,SUCCESS,56+,18-25,Madhya Pradesh,Union Bank,ICICI Bank,Android,4G,0,19,Monday,0
TXN0000039,2024-01-01 19:37:54,P2P,Healthcare,661.58,SUCCESS,56+,46-55,Madhya Pradesh,Kotak Bank,Axis Bank,Android,4G,0,19,Monday,0
TXN0000040,2024-01-01 20:18:02,RECHARGE,Retail,1848.19,SUCCESS,26-35,36-45,Haryana,Union Bank,PNB,Android,5G,0,20,Monday,0
TXN0000041,2024-01-01 20:38:30,BILL_PAYMENT,Healthcare,2635.84,SUCCESS,46-55,56+,Rajasthan,PNB,IndusInd Bank,Android,4G,0,20,Monday,0
TXN0000042,2024-01-01 21:28:25,RECHARGE,Utilities,569.43,SUCCESS,36-45,56+,Madhya Pradesh,Bank of Baroda,Canara Bank,Android,WiFi,0,21,Monday,0
TXN0000043,2024-01-01 21:54:59,MERCHANT,Entertainment,1055.34,SUCCESS,18-25,26-35,Haryana,Canara Bank,ICICI Bank,Android,5G,0,21,Monday,0
TXN0000044,2024-01-01 22:11:39,BILL_PAYMENT,Utilities,1279.4,SUCCESS,18-25,26-35,West Bengal,Union Bank,HDFC Bank,Android,5G,0,22,Monday,0
TXN0000045,2024-01-01 22:46:15,MERCHANT,Food,6504.56,SUCCESS,26-35,36-45,Bihar,SBI,IndusInd Bank,Android,4G,0,22,Monday,0
TXN0000046,2024-01-01 23:03:09,RECHARGE,Utilities,10408.93,SUCCESS,56+,18-25,Andhra Pradesh,ICICI Bank,Canara Bank,Android,4G,0,23,Monday,0
TXN0000047,2024-01-01 23:45:57,RECHARGE,Healthcare,4752.28,SUCCESS,56+,56+,Tamil Nadu,Bank of Baroda,Axis Bank,iOS,5G,0,23,Monday,0
TXN0000048,2024-01-02 00:11:26,P2M,Retail,91.82,SUCCESS,18-25,36-45,Jharkhand,Union Bank,PNB,Android,4G,0,0,Tuesday,0
TXN0000049,2024-01-02 00:45:57,P2P,Food,558.83,SUCCESS,56+,36-45,Haryana,Bank of Baroda,IndusInd Bank,Android,WiFi,0,0,Tuesday,0
TXN0000050,2024-01-02 01:09:22,RECHARGE,Travel,809.16,SUCCESS,46-55,56+,Telangana,HDFC Bank,Kotak Bank,iOS,4G,0,1,Tuesday,0
TXN0000051,2024-01-02 01:56:30,P2P,Utilities,281.42,SUCCESS,18-25,56+,West Bengal,Kotak Bank,Bank of Baroda,iOS,WiFi,0,1,Tuesday,0
TXN0000052,2024-01-02 02:21:07,MERCHANT,,1461.94,SUCCESS,26-35,36-45,Punjab,Canara Bank,Canara Bank,iOS,4G,0,2,Tuesday,0
TXN0000053,2024-01-02 02:43:51,P2P,Electronics,309.0,SUCCESS,26-35,26-35,Bihar,PNB,Union Bank,Android,4G,0,2,Tuesday,0
TXN0000054,2024-01-02 03:25:28,BILL_PAYMENT,Travel,24.43,SUCCESS,46-55,36-45,West Bengal,SBI,Bank of Baroda,iOS,4G,0,3,Tuesday,0
TXN0000055,2024-01-02 03:49:14,RECHARGE,Healthcare,1090.6,SUCCESS,26-35,46-55,Gujarat,Axis Bank,Axis Bank,iOS,WiFi,0,3,Tuesday,0
TXN0000056,2024-01-02 04:25:08,P2M,,650.84,SUCCESS,18-25,18-25,Tamil Nadu,SBI,Canara Bank,iOS,4G,0,4,Tuesday,0
TXN0000057,2024-01-02 04:40:46,P2P,Groceries,4863.84,SUCCESS,36-45,46-55,Madhya Pradesh,IndusInd Bank,Kotak Bank,Android,5G,0,4,Tuesday,0
TXN0000058,2024-01-02 05:00:20,BILL_PAYMENT,Electronics,6192.55,SUCCESS,56+,26-35,Madhya Pradesh,HDFC Bank,Bank of Baroda,Android,4G,0,5,Tuesday,0
TXN0000059,2024-01-02 05:44:00,BILL_PAYMENT,Electronics,82.76,SUCCESS,26-35,46-55,West Bengal,SBI,Bank of Baroda,Android,WiFi,0,5,Tuesday,0
TXN0000060,2024-01-02 06:02:46,P2M,Electronics,21.14,SUCCESS,36-45,36-45,Punjab,IndusInd Bank,Kotak Bank,iOS,4G,0,6,Tuesday,0
TXN0000061,2024-01-02 06:51:37,MERCHANT,,156712.62,SUCCESS,56+,46-55,Jharkhand,Union Bank,Axis Bank,Android,WiFi,1,6,Tuesday,0
TXN0000062,2024-01-02 07:06:27,BILL_PAYMENT,Groceries,4815.96,SUCCESS,26-35,56+,Gujarat,Axis Bank,SBI,Android,5G,0,7,Tuesday,0
TXN0000063,2024-01-02 07:40:00,MERCHANT,Travel,1415.05,SUCCESS,26-35,46-55,West Bengal,HDFC Bank,ICICI Bank,Android,4G,0,7,Tuesday,0
TXN0000064,2024-01-02 08:05:15,RECHARGE,Utilities,13543.75,SUCCESS,46-55,36-45,Karnataka,Kotak Bank,Bank of Baroda,iOS,4G,0,8,Tuesday,0
TXN0000065,2024-01-02 08:30:13,P2M,Retail,260.56,SUCCESS,36-45,46-55,Rajasthan,SBI,Canara Bank,Android,WiFi,0,8,Tuesday,0
TXN0000066,2024-01-02 09:04:01,RECHARGE,Healthcare,1116.92,SUCCESS,46-55,18-25,Gujarat,PNB,IndusInd Bank,iOS,4G,0,9,Tuesday,0
TXN0000067,2024-01-02 09:42:56,RECHARGE,Entertainment,2623.59,SUCCESS,36-45,36-45,Haryana,PNB,Bank of Baroda,Android,4G,0,9,Tuesday,0
TXN0000068,2024-01-02 10:22:49,RECHARGE,Healthcare,204.13,SUCCESS,26-35,26-35,Andhra Pradesh,PNB,Union Bank,iOS,4G,0,10,Tuesday,0
TXN0000069,2024-01-02 10:39:24,P2P,Food,4724.55,SUCCESS,26-35,36-45,Rajasthan,PNB,Kotak Bank,Android,4G,0,10,Tuesday,0
TXN0000070,2024-01-02 11:14:57,MERCHANT,Education,1258.2,SUCCESS,56+,46-55,Jharkhand,Union Bank,ICICI Bank,iOS,4G,0,11,Tuesday,0
TXN0000071,2024-01-02 11:52:43,BILL_PAYMENT,Food,3252.79,SUCCESS,46-55,18-25,Karnataka,SBI,SBI,Android,4G,0,11,Tuesday,0
TXN0000072,2024-01-02 12:01:31,MERCHANT,Utilities,66.8,SUCCESS,18-25,18-25,Maharashtra,Kotak Bank,IndusInd Bank,iOS,4G,0,12,Tuesday,0
TXN0000073,2024-01-02 12:53:10,MERCHANT,Healthcare,6705.58,SUCCESS,36-45,46-55,Jharkhand,ICICI Bank,ICICI Bank,iOS,5G,0,12,Tuesday,0
TXN0000074,2024-01-02 13:15:55,BILL_PAYMENT,Education,89.47,SUCCESS,46-55,56+,Maharashtra,Kotak Bank,Bank of Baroda,Android,5G,0,13,Tuesday,0
TXN0000075,2024-01-02 13:54:38,RECHARGE,,1937.45,SUCCESS,56+,46-55,Punjab,Bank of Baroda,Bank of Baroda,Android,WiFi,0,13,Tuesday,0
TXN0000076,2024-01-02 14:24:11,P2P,Groceries,1939.52,SUCCESS,46-55,36-45,Bihar,ICICI Bank,Kotak Bank,Android,4G,0,14,Tuesday,0
TXN0000077,2024-01-02 14:38:28,P2M,Education,4223.64,SUCCESS,56+,18-25,West Bengal,Canara Bank,Canara Bank,Android,4G,0,14,Tuesday,0
TXN0000078,2024-01-02 15:12:55,BILL_PAYMENT,,1407.21,SUCCESS,18-25,56+,Madhya Pradesh,PNB,Axis Bank,Android,4G,0,15,Tuesday,0
TXN0000079,2024-01-02 15:30:34,P2M,Electronics,1255.29,SUCCESS,26-35,36-45,Rajasthan,SBI,Union Bank,iOS,4G,0,15,Tuesday,0
TXN0000080,2024-01-02 16:03:25,RECHARGE,Healthcare,4023.08,SUCCESS,56+,36-45,Madhya Pradesh,Union Bank,Axis Bank,Android,5G,0,16,Tuesday,0
TXN0000081,2024-01-02 16:48:24,MERCHANT,,854.8,SUCCESS,56+,46-55,Karnataka,Axis Bank,PNB,Android,5G,0,16,Tuesday,0
TXN0000082,2024-01-02 17:26:25,P2P,Entertainment,8742.86,SUCCESS,36-45,36-45,Maharashtra,ICICI Bank,Canara Bank,Android,5G,0,17,Tuesday,0
TXN0000083,2024-01-02 17:53:31,MERCHANT,Travel,408.31,SUCCESS,36-45,46-55,Delhi,PNB,Canara Bank,Android,WiFi,0,17,Tuesday,0
TXN0000084,2024-01-02 18:17:05,P2M,Retail,4637.49,SUCCESS,46-55,18-25,Delhi,Bank of Baroda,Canara Bank,iOS,5G,0,18,Tuesday,0
TXN0000085,2024-01-02 18:47:01,MERCHANT,Retail,4605.62,SUCCESS,26-35,46-55,Andhra Pradesh,Canara Bank,Axis Bank,Android,5G,0,18,Tuesday,0
TXN0000086,2024-01-02 19:23:33,P2P,Utilities,3323.11,SUCCESS,26-35,46-55,Bihar,Union Bank,Kotak Bank,Android,5G,0,19,Tuesday,0
TXN0000087,2024-01-02 19:39:25,RECHARGE,Utilities,3257.06,SUCCESS,46-55,36-45,Jharkhand,Axis Bank,PNB,Android,5G,0,19,Tuesday,0
TXN0000088,2024-01-02 20:18:49,MERCHANT,Education,672.86,FAILED,36-45,56+,Delhi,SBI,Union Bank,iOS,4G,0,20,Tuesday,0
TXN0000089,2024-01-02 20:59:55,MERCHANT,,2175.17,SUCCESS,18-25,26-35,Maharashtra,ICICI Bank,Canara Bank,Android,4G,0,20,Tuesday,0
TXN0000090,2024-01-02 21:25:00,P2P,Retail,6678.65,SUCCESS,26-35,56+,Gujarat,SBI,ICICI Bank,Android,5G,0,21,Tuesday,0
TXN0000091,2024-01-02 21:41:42,BILL_PAYMENT,Groceries,9998.82,SUCCESS,18-25,46-55,Gujarat,PNB,ICICI Bank,Android,4G,0,21,Tuesday,0
TXN0000092,2024-01-02 22:06:41,RECHARGE,Healthcare,3065.77,SUCCESS,46-55,26-35,Bihar,IndusInd Bank,ICICI Bank,iOS,WiFi,0,22,Tuesday,0
TXN0000093,2024-01-02 22:42:09,BILL_PAYMENT,,3295.68,SUCCESS,56+,26-35,Gujarat,SBI,Bank of Baroda,iOS,4G,0,22,Tuesday,0
TXN0000094,2024-01-02 23:26:19,RECHARGE,Education,4278.93,SUCCESS,56+,46-55,Uttar Pradesh,ICICI Bank,HDFC Bank,iOS,WiFi,0,23,Tuesday,0
TXN0000095,2024-01-02 23:32:41,BILL_PAYMENT,Food,2420.26,SUCCESS,56+,46-55,Madhya Pradesh,Axis Bank,Bank of Baroda,Android,4G,0,23,Tuesday,0
TXN0000096,2024-01-03 00:03:21,BILL_PAYMENT,Electronics,2373.58,SUCCESS,18-25,18-25,Karnataka,Bank of Baroda,SBI,Android,5G,0,0,Wednesday,0
TXN0000097,2024-01-03 00:46:35,P2M,Food,5168.64,SUCCESS,18-25,18-25,Karnataka,IndusInd Bank,Union Bank,Android,4G,0,0,Wednesday,0
TXN0000098,2024-01-03 01:04:29,BILL_PAYMENT,Retail,3020.91,SUCCESS,56+,18-25,Haryana,HDFC Bank,Axis Bank,Android,4G,0,1,Wednesday,0
TXN0000099,2024-01-03 01:43:35,P2P,Education,4036.38,SUCCESS,46-55,36-45,Bihar,HDFC Bank,IndusInd Bank,Android,4G,0,1,Wednesday,0
TXN0000100,2024-01-03 02:21:34,BILL_PAYMENT,Food,3313.47,SUCCESS,56+,18-25,Maharashtra,SBI,Axis Bank,iOS,4G,0,2,Wednesday,0
TXN0000101,2024-01-03 02:37:35,P2M,,536.45,SUCCESS,26-35,56+,Tamil Nadu,Bank of Baroda,Union Bank,Android,4G,0,2,Wednesday,0
TXN0000102,2024-01-03 03:24:45,MERCHANT,Food,2805.92,SUCCESS,26-35,56+,Gujarat,Union Bank,Bank of Baroda,Android,5G,0,3,Wednesday,0
TXN0000103,2024-01-03 03:59:10,MERCHANT,Education,16147.39,SUCCESS,56+,36-45,West Bengal,PNB,Union Bank,Android,WiFi,0,3,Wednesday,0
TXN0000104,2024-01-03 04:21:15,RECHARGE,Travel,688.47,SUCCESS,56+,36-45,Haryana,PNB,Canara Bank,Android,4G,0,4,Wednesday,0
TXN0000105,2024-01-03 04:46:56,BILL_PAYMENT,,3239.43,FAILED,26-35,36-45,Maharashtra,HDFC Bank,Kotak Bank,iOS,5G,0,4,Wednesday,0
TXN0000106,2024-01-03 05:28:45,BILL_PAYMENT,Utilities,945.49,SUCCESS,56+,56+,Telangana,ICICI Bank,SBI,Android,4G,0,5,Wednesday,0
TXN0000107,2024-01-03 05:34:55,BILL_PAYMENT,Education,424.32,SUCCESS,26-35,26-35,Gujarat,Kotak Bank,Kotak Bank,Android,4G,0,5,Wednesday,0
TXN0000108,2024-01-03 06:29:08,P2M,Food,2104.49,SUCCESS,46-55,26-35,Rajasthan,Canara Bank,IndusInd Bank,Android,4G,0,6,Wednesday,0
TXN0000109,2024-01-03 06:41:59,RECHARGE,Electronics,66817.22,SUCCESS,56+,36-45,Jharkhand,PNB,Union Bank,Android,4G,1,6,Wednesday,0
TXN0000110,2024-01-03 07:29:32,RECHARGE,Retail,3678.43,SUCCESS,46-55,18-25,Telangana,Kotak Bank,Bank of Baroda,Android,WiFi,0,7,Wednesday,0
TXN0000111,2024-01-03 07:35:37,BILL_PAYMENT,Utilities,2080.52,SUCCESS,26-35,18-25,West Bengal,Union Bank,Canara Bank,iOS,4G,0,7,Wednesday,0
TXN0000112,2024-01-03 08:14:38,MERCHANT,Healthcare,236.0,SUCCESS,26-35,26-35,West Bengal,PNB,SBI,Android,4G,0,8,Wednesday,0
TXN0000113,2024-01-03 08:47:56,MERCHANT,Healthcare,126.42,SUCCESS,56+,46-55,Punjab,ICICI Bank,ICICI Bank,Android,4G,0,8,Wednesday,0
TXN0000114,2024-01-03 09:13:11,RECHARGE,Travel,1672.9,SUCCESS,56+,26-35,Tamil Nadu,Axis Bank,SBI,Android,4G,0,9,Wednesday,0
TXN0000115,2024-01-03 09:33:36,RECHARGE,Food,2885.88,SUCCESS,46-55,46-55,Gujarat,PNB,PNB,iOS,WiFi,0,9,Wednesday,0
TXN0000116,2024-01-03 10:12:43,P2P,Healthcare,2252.75,SUCCESS,36-45,56+,Gujarat,Canara Bank,IndusInd Bank,iOS,4G,0,10,Wednesday,0
TXN0000117,2024-01-03 10:33:07,P2M,Travel,6449.58,SUCCESS,26-35,18-25,Maharashtra,SBI,HDFC Bank,iOS,4G,0,10,Wednesday,0
TXN0000118,2024-01-03 11:06:19,BILL_PAYMENT,Retail,399.47,SUCCESS,18-25,36-45,Andhra Pradesh,Canara Bank,Canara Bank,Android,WiFi,0,11,Wednesday,0
TXN0000119,2024-01-03 11:38:12,P2M,Travel,3367.81,SUCCESS,36-45,56+,Tamil Nadu,Canara Bank,IndusInd Bank,iOS,4G,0,11,Wednesday,0
TXN0000120,2024-01-03 12:17:44,RECHARGE,Retail,2186.7,SUCCESS,18-25,36-45,Rajasthan,Axis Bank,IndusInd Bank,Android,4G,0,12,Wednesday,0
TXN0000121,2024-01-03 12:49:40,P2P,Food,2658.77,SUCCESS,36-45,36-45,Bihar,SBI,HDFC Bank,Android,4G,0,12,Wednesday,0
TXN0000122,2024-01-03 13:00:14,RECHARGE,Food,9754.3,SUCCESS,46-55,56+,Tamil Nadu,Bank of Baroda,SBI,iOS,5G,0,13,Wednesday,0
TXN0000123,2024-01-03 13:31:04,RECHARGE,Retail,8512.36,SUCCESS,56+,36-45,West Bengal,PNB,Canara Bank,Android,5G,0,13,Wednesday,0
TXN0000124,2024-01-03 14:08:40,BILL_PAYMENT,Education,1064.6,SUCCESS,26-35,56+,Maharashtra,Kotak Bank,HDFC Bank,Android,4G,0,14,Wednesday,0
TXN0000125,2024-01-03 14:52:47,P2P,Utilities,24850.42,SUCCESS,26-35,26-35,Andhra Pradesh,PNB,Union Bank,iOS,4G,0,14,Wednesday,0
TXN0000126,2024-01-03 15:19:12,RECHARGE,Travel,1204.01,SUCCESS,56+,26-35,Punjab,Union Bank,Kotak Bank,iOS,WiFi,0,15,Wednesday,0
TXN0000127,2024-01-03 15:40:47,P2M,Entertainment,1953.49,SUCCESS,26-35,26-35,Bihar,Kotak Bank,Bank of Baroda,iOS,4G,0,15,Wednesday,0
TXN0000128,2024-01-03 16:24:55,P2M,,9301.12,SUCCESS,36-45,18-25,Andhra Pradesh,Bank of Baroda,Bank of Baroda,Android,5G,0,16,Wednesday,0
TXN0000129,2024-01-03 16:48:06,P2M,Retail,4574.0,SUCCESS,46-55,46-55,Gujarat,Kotak Bank,Canara Bank,Android,5G,0,16,Wednesday,0
TXN0000130,2024-01-03 17:19:22,P2M,Entertainment,520.43,SUCCESS,56+,56+,Madhya Pradesh,Kotak Bank,IndusInd Bank,iOS,4G,0,17,Wednesday,0
TXN0000131,2024-01-03 17:55:22,P2M,Retail,2268.08,SUCCESS,46-55,26-35,Tamil Nadu,Bank of Baroda,IndusInd Bank,Android,WiFi,0,17,Wednesday,0
TXN0000132,2024-01-03 18:09:52,MERCHANT,Groceries,4778.54,SUCCESS,26-35,26-35,Karnataka,HDFC Bank,Union Bank,Android,WiFi,0,18,Wednesday,0
TXN0000133,2024-01-03 18:36:31,P2M,Travel,629.35,SUCCESS,46-55,56+,Rajasthan,Canara Bank,PNB,Android,5G,0,18,Wednesday,0
TXN0000134,2024-01-03 19:28:18,P2P,,1297.42,SUCCESS,46-55,36-45,Rajasthan,Union Bank,IndusInd Bank,iOS,4G,0,19,Wednesday,0
TXN0000135,2024-01-03 19:36:58,P2P,Utilities,1862.31,SUCCESS,46-55,18-25,West Bengal,Axis Bank,Bank of Baroda,iOS,4G,0,19,Wednesday,0
TXN0000136,2024-01-03 20:04:48,MERCHANT,Utilities,100.11,SUCCESS,18-25,26-35,Punjab,Kotak Bank,Canara Bank,Android,WiFi,0,20,Wednesday,0
TXN0000137,2024-01-03 20:36:18,MERCHANT,Healthcare,257606.22,SUCCESS,56+,56+,Jharkhand,ICICI Bank,Canara Bank,Android,4G,1,20,Wednesday,0
TXN0000138,2024-01-03 21:29:56,P2M,,1736.16,SUCCESS,56+,26-35,Punjab,Union Bank,Union Bank,Android,4G,0,21,Wednesday,0
TXN0000139,2024-01-03 21:55:13,RECHARGE,Travel,492.71,SUCCESS,18-25,36-45,Maharashtra,PNB,ICICI Bank,Android,4G,0,21,Wednesday,0
TXN0000140,2024-01-03 22:03:50,BILL_PAYMENT,Food,3062.37,SUCCESS,46-55,56+,Delhi,IndusInd Bank,ICICI Bank,Android,4G,0,22,Wednesday,0
TXN0000141,2024-01-03 22:46:57,P2M,Education,112.25,SUCCESS,26-35,26-35,Rajasthan,ICICI Bank,ICICI Bank,Android,4G,0,22,Wednesday,0
TXN0000142,2024-01-03 23:00:40,MERCHANT,Healthcare,925.91,SUCCESS,18-25,26-35,Uttar Pradesh,Axis Bank,HDFC Bank,iOS,WiFi,0,23,Wednesday,0
TXN0000143,2024-01-03 23:47:31,MERCHANT,Utilities,1534.19,SUCCESS,56+,46-55,Maharashtra,Axis Bank,Axis Bank,iOS,4G,0,23,Wednesday,0
TXN0000144,2024-01-04 00:02:14,P2P,,234568.11,SUCCESS,56+,56+,West Bengal,Kotak Bank,IndusInd Bank,iOS,5G,1,0,Thursday,0
TXN0000145,2024-01-04 00:33:20,P2P,Education,510.93,SUCCESS,18-25,56+,Maharashtra,IndusInd Bank,Kotak Bank,Android,4G,0,0,Thursday,0
TXN0000146,2024-01-04 01:12:59,P2M,Entertainment,288.21,SUCCESS,56+,56+,Maharashtra,IndusInd Bank,Bank of Baroda,iOS,4G,0,1,Thursday,0
TXN0000147,2024-01-04 01:45:29,P2P,Food,2162.61,SUCCESS,36-45,36-45,Punjab,Union Bank,SBI,Android,4G,0,1,Thursday,0
TXN0000148,2024-01-04 02:17:36,P2M,Food,866.22,SUCCESS,36-45,36-45,Delhi,Bank of Baroda,Union Bank,iOS,5G,0,2,Thursday,0
TXN0000149,2024-01-04 02:47:51,P2P,Food,586.3,SUCCESS,56+,18-25,Punjab,Canara Bank,IndusInd Bank,Android,4G,0,2,Thursday,0
TXN0000150,2024-01-04 03:08:22,BILL_PAYMENT,Utilities,4706.37,SUCCESS,56+,36-45,Haryana,ICICI Bank,IndusInd Bank,iOS,4G,0,3,Thursday,0
TXN0000151,2024-01-04 03:36:46,MERCHANT,Groceries,3265.8,SUCCESS,56+,26-35,West Bengal,Kotak Bank,Axis Bank,Android,4G,0,3,Thursday,0
TXN0000152,2024-01-04 04:26:37,P2P,Travel,1563.19,SUCCESS,46-55,46-55,Maharashtra,HDFC Bank,PNB,Android,4G,0,4,Thursday,0
TXN0000153,2024-01-04 04:59:11,P2P,Travel,2536.85,SUCCESS,36-45,18-25,Madhya Pradesh,Kotak Bank,Kotak Bank,iOS,4G,0,4,Thursday,0
TXN0000154,2024-01-04 05:13:24,P2P,Education,3642.14,SUCCESS,56+,56+,Gujarat,HDFC Bank,ICICI Bank,iOS,WiFi,0,5,Thursday,0
