transaction_id,timestamp,transaction_type,merchant_category,amount_inr,transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend,tx_count,avg_amt,std_amt,uniq_rec,high_amount_flag,hourly_tx_count,GRS,VA,transaction_type_enc,merchant_category_enc,sender_bank_enc,receiver_bank_enc,network_type_enc,device_type_enc,sender_state_enc,BRS,SNS,SAS,DARS,dars_flag
TXN0000023,2024-01-01 11:35:43,RECHARGE,Retail,1263.7,SUCCESS,56+,26-35,Delhi,Bank of Baroda,ICICI Bank,Android,5G,0,11,Monday,0,105,12854.431714285714,65348.16978097511,10,0,7,10.0,0.999999997142857,4,6,1,4,1,0,2,26.840685041080604,0.0,29.02168,20.736275,0
TXN0000024,2024-01-01 12:25:15,RECHARGE,Entertainment,2088.84,SUCCESS,46-55,36-45,Karnataka,HDFC Bank,Axis Bank,Android,5G,0,12,Monday,0,114,30728.154824561403,92191.09248499262,10,0,4,10.0,0.5714285697959183,4,2,3,0,1,0,6,35.99391302962182,0.0,29.110617,20.11185,0
TXN0000025,2024-01-01 12:53:57,P2M,Retail,767.53,SUCCESS,56+,36-45,Delhi,Union Bank,Canara Bank,Android,4G,0,12,Monday,0,116,15491.21025862069,57873.416172974714,10,0,7,10.0,0.999999997142857,2,6,9,2,0,0,2,25.350052141389597,0.0,29.02168,20.14002,0
TXN0000026,2024-01-01 13:13:25,BILL_PAYMENT,Food,9854.89,SUCCESS,56+,36-45,Maharashtra,Kotak Bank,IndusInd Bank,iOS,4G,0,13,Monday,0,120,15863.572583333333,61311.10103631213,10,0,8,10.0,0.8571428546938777,0,3,6,5,0,1,8,43.39500847619573,0.0,29.02168,25.929432,0
TXN0000027,2024-01-01 13:36:25,MERCHANT,Education,1181.66,SUCCESS,18-25,56+,Karnataka,Kotak Bank,Union Bank,iOS,4G,0,13,Monday,0,93,2665.4836559139785,2653.8544444759495,10,0,5,10.0,0.42857142734693876,1,0,6,9,0,1,6,17.797999181112573,0.0,29.02168,11.404914,0
TXN0000028,2024-01-01 14:20:15,BILL_PAYMENT,Groceries,1088.13,SUCCESS,56+,18-25,Rajasthan,Bank of Baroda,ICICI Bank,Android,5G,0,14,Monday,0,105,12854.431714285714,65348.16978097511,10,0,4,60.0,0.999999997142857,0,4,1,4,1,0,10,24.412237594706838,0.0,29.02168,34.764896,0
TXN0000029,2024-01-01 14:45:55,BILL_PAYMENT,Travel,200.55,SUCCESS,26-35,36-45,Tamil Nadu,IndusInd Bank,SBI,iOS,4G,0,14,Monday,0,85,2931.5423529411764,3237.5401326299625,10,0,5,10.0,0.0,0,7,5,8,0,1,11,21.405346995711668,0.0,29.02168,8.562139,0
TXN0000030,2024-01-01 15:04:36,P2P,Groceries,1002.03,SUCCESS,46-55,26-35,Madhya Pradesh,IndusInd Bank,ICICI Bank,Android,4G,0,15,Monday,0,93,24524.079677419355,92416.87498544584,10,0,5,10.0,0.5714285697959183,3,4,5,4,0,0,7,13.973680419530524,0.0,29.02168,11.303758,0
TXN0000031,2024-01-01 15:49:44,RECHARGE,,110.26,SUCCESS,56+,18-25,Tamil Nadu,IndusInd Bank,ICICI Bank,Android,5G,0,15,Monday,0,95,23588.880315789473,84990.00197406899,10,0,3,10.0,0.999999997142857,4,8,5,4,1,0,11,36.11880552351302,0.0,29.02168,24.447523,0
TXN0000032,2024-01-01 16:07:39,RECHARGE,Electronics,6391.98,SUCCESS,56+,18-25,Uttar Pradesh,Kotak Bank,SBI,iOS,4G,0,16,Monday,0,120,15863.572583333333,61311.10103631213,10,0,10,60.0,0.8571428546938777,4,1,6,8,0,1,13,50.93877329912811,0.0,29.02168,43.946938,0
TXN0000033,2024-01-01 16:52:17,MERCHANT,Entertainment,12325.81,SUCCESS,46-55,56+,Haryana,ICICI Bank,IndusInd Bank,iOS,4G,0,16,Monday,0,107,23912.91859813084,81421.32598833223,10,0,3,60.0,0.42857142734693876,1,2,4,5,0,1,4,33.718980489230624,0.0,29.02168,32.773308,0
TXN0000034,2024-01-01 17:00:21,P2M,Education,1787.48,SUCCESS,56+,56+,Jharkhand,SBI,Axis Bank,Android,4G,0,17,Monday,0,116,35929.33008620689,103973.26014784705,10,0,8,60.0,0.999999997142857,2,0,8,0,0,0,5,46.57356523950951,0.0,29.110617,43.629425,0
TXN0000035,2024-01-01 17:34:12,P2M,Utilities,287.32,SUCCESS,56+,46-55,Karnataka,ICICI Bank,IndusInd Bank,Android,5G,0,17,Monday,0,121,22046.21520661157,78212.59007336404,10,0,4,10.0,0.999999997142857,2,9,4,5,1,0,6,35.38678717725412,0.0,29.02168,24.154715,0
TXN0000036,2024-01-01 18:12:27,RECHARGE,Retail,5796.99,SUCCESS,56+,56+,Bihar,SBI,SBI,Android,5G,0,18,Monday,0,116,35929.33008620689,103973.26014784705,10,0,8,60.0,0.999999997142857,4,6,8,8,1,0,1,53.83956108760125,0.0,29.863739,46.535824,0
TXN0000037,2024-01-01 18:44:16,P2P,Electronics,2312.54,SUCCESS,36-45,18-25,Andhra Pradesh,Bank of Baroda,Union Bank,iOS,4G,0,18,Monday,0,87,2684.444022988506,2520.793010302863,10,0,6,10.0,0.14285714244897954,3,1,1,9,0,1,0,27.4309752846371,0.0,29.02168,12.400962,0
TXN0000038,2024-01-01 19:26:24,BILL_PAYMENT,,3659.79,SUCCESS,56+,18-25,Madhya Pradesh,Union Bank,ICICI Bank,Android,4G,0,19,Monday,0,116,15491.21025862069,57873.416172974714,10,0,7,10.0,0.999999997142857,0,8,9,4,0,0,7,31.779582512818102,0.0,29.02168,22.711832,0
TXN0000039,2024-01-01 19:37:54,P2P,Healthcare,661.58,SUCCESS,56+,46-55,Madhya Pradesh,Kotak Bank,Axis Bank,Android,4G,0,19,Monday,0,120,15863.572583333333,61311.10103631213,10,0,10,10.0,0.999999997142857,3,5,6,0,0,0,7,31.63525540770933,0.0,29.02168,22.654102,0
TXN0000040,2024-01-01 20:18:02,RECHARGE,Retail,1848.19,SUCCESS,26-35,36-45,Haryana,Union Bank,PNB,Android,5G,0,20,Monday,0,96,2168.8068749999998,2003.7050109888205,10,0,2,60.0,0.14285714244897954,4,6,9,7,1,0,4,25.35319366857307,0.0,29.02168,26.569849,0
TXN0000041,2024-01-01 20:38:30,BILL_PAYMENT,Healthcare,2635.84,SUCCESS,46-55,56+,Rajasthan,PNB,IndusInd Bank,Android,4G,0,20,Monday,0,111,33312.69945945946,97494.74939112828,10,0,3,60.0,0.5714285697959183,0,5,7,5,0,0,10,32.24752295376637,0.0,29.298962,33.613297,0
TXN0000042,2024-01-01 21:28:25,RECHARGE,Utilities,569.43,SUCCESS,36-45,56+,Madhya Pradesh,Bank of Baroda,Canara Bank,Android,WiFi,0,21,Monday,0,87,2684.444022988506,2520.793010302863,10,0,2,10.0,0.28571428489795925,4,9,1,2,2,0,7,34.65235985971762,0.0,29.02168,16.718086,0
TXN0000043,2024-01-01 21:54:59,MERCHANT,Entertainment,1055.34,SUCCESS,18-25,26-35,Haryana,Canara Bank,ICICI Bank,Android,5G,0,21,Monday,0,104,2847.8729807692307,2708.189818022463,10,0,10,60.0,0.5714285697959183,1,2,2,4,1,0,4,24.04615258969102,0.0,29.02168,30.332747,0
TXN0000044,2024-01-01 22:11:39,BILL_PAYMENT,Utilities,1279.4,SUCCESS,18-25,26-35,West Bengal,Union Bank,HDFC Bank,Android,5G,0,22,Monday,0,111,2399.7613513513515,2646.083652090898,10,0,6,60.0,0.5714285697959183,0,9,9,3,1,0,14,35.339321367649596,0.0,29.02168,34.850014,0
TXN0000045,2024-01-01 22:46:15,MERCHANT,Food,6504.56,SUCCESS,26-35,36-45,Bihar,SBI,IndusInd Bank,Android,4G,0,22,Monday,0,91,2906.614945054945,2916.7170698583454,10,0,4,60.0,0.14285714244897954,1,3,8,5,0,0,1,19.55561163823674,0.0,29.02168,24.250816,0
TXN0000046,2024-01-01 23:03:09,RECHARGE,Utilities,10408.93,SUCCESS,56+,18-25,Andhra Pradesh,ICICI Bank,Canara Bank,Android,4G,0,23,Monday,0,121,22046.21520661157,78212.59007336404,10,0,9,10.0,0.999999997142857,4,9,4,2,0,0,0,54.04519741800995,0.0,29.02168,31.618078,0
TXN0000047,2024-01-01 23:45:57,RECHARGE,Healthcare,4752.28,SUCCESS,56+,56+,Tamil Nadu,Bank of Baroda,Axis Bank,iOS,5G,0,23,Monday,0,105,12854.431714285714,65348.16978097511,10,0,4,10.0,0.8571428546938777,4,5,1,0,1,1,11,42.43837394734133,0.0,29.02168,25.546778,0
TXN0000048,2024-01-02 00:11:26,P2M,Retail,91.82,SUCCESS,18-25,36-45,Jharkhand,Union Bank,PNB,Android,4G,0,0,Tuesday,0,111,2399.7613513513515,2646.083652090898,10,0,7,60.0,0.5714285697959183,2,6,9,7,0,0,5,24.208049559444447,0.0,29.02168,30.397505,0
TXN0000049,2024-01-02 00:45:57,P2P,Food,558.83,SUCCESS,56+,36-45,Haryana,Bank of Baroda,IndusInd Bank,Android,WiFi,0,0,Tuesday,0,105,12854.431714285714,65348.16978097511,10,0,4,60.0,0.999999997142857,3,3,1,5,2,0,4,36.856508441971926,0.0,29.02168,39.742603,0
TXN0000050,2024-01-02 01:09:22,RECHARGE,Travel,809.16,SUCCESS,46-55,56+,Telangana,HDFC Bank,Kotak Bank,iOS,4G,0,1,Tuesday,0,114,30728.154824561403,92191.09248499262,10,0,7,10.0,0.42857142734693876,4,7,3,6,0,1,12,40.782364531254025,0.0,29.110617,20.59866,0
TXN0000051,2024-01-02 01:56:30,P2P,Utilities,281.42,SUCCESS,18-25,56+,West Bengal,Kotak Bank,Bank of Baroda,iOS,WiFi,0,1,Tuesday,0,93,2665.4836559139785,2653.8544444759495,10,0,2,60.0,0.42857142734693876,3,9,6,1,2,1,14,43.93495469031236,0.0,29.02168,36.859695,0
TXN0000052,2024-01-02 02:21:07,MERCHANT,,1461.94,SUCCESS,26-35,36-45,Punjab,Canara Bank,Canara Bank,iOS,4G,0,2,Tuesday,0,101,2486.4346534653464,2183.5583624320943,10,0,4,10.0,0.0,1,8,2,2,0,1,9,19.204739735940038,0.0,29.02168,7.6818957,0
TXN0000053,2024-01-02 02:43:51,P2P,Electronics,309.0,SUCCESS,26-35,26-35,Bihar,PNB,Union Bank,Android,4G,0,2,Tuesday,0,127,2175.7560629921263,2814.651902473672,10,0,4,60.0,0.14285714244897954,3,1,7,9,0,0,1,41.29005937558724,0.0,29.02168,32.944595,0
TXN0000054,2024-01-02 03:25:28,BILL_PAYMENT,Travel,24.43,SUCCESS,46-55,36-45,West Bengal,SBI,Bank of Baroda,iOS,4G,0,3,Tuesday,0,104,18325.328461538462,71026.07551179589,10,0,2,60.0,0.42857142734693876,0,7,8,1,0,1,14,41.07842177750018,0.0,29.02168,35.717083,0
TXN0000055,2024-01-02 03:49:14,RECHARGE,Healthcare,1090.6,SUCCESS,26-35,46-55,Gujarat,Axis Bank,Axis Bank,iOS,WiFi,0,3,Tuesday,0,99,2366.499090909091,2761.5251199418003,10,0,2,10.0,0.0,4,5,0,0,2,1,3,44.34772639999048,0.0,29.02168,17.73909,0
TXN0000056,2024-01-02 04:25:08,P2M,,650.84,SUCCESS,18-25,18-25,Tamil Nadu,SBI,Canara Bank,iOS,4G,0,4,Tuesday,0,85,2843.6529411764704,3432.328003871294,10,0,4,10.0,0.42857142734693876,2,8,8,2,0,1,11,19.07229267318013,0.0,29.02168,11.914631,0
TXN0000057,2024-01-02 04:40:46,P2P,Groceries,4863.84,SUCCESS,36-45,46-55,Madhya Pradesh,IndusInd Bank,Kotak Bank,Android,5G,0,4,Tuesday,0,89,1839.8615730337078,1544.0160231540951,10,0,3,10.0,0.28571428489795925,3,4,5,6,1,0,7,11.938248537416072,0.0,29.02168,7.6324425,0
TXN0000058,2024-01-02 05:00:20,BILL_PAYMENT,Electronics,6192.55,SUCCESS,56+,26-35,Madhya Pradesh,HDFC Bank,Bank of Baroda,Android,4G,0,5,Tuesday,0,103,21961.40844660194,69409.07717585293,10,0,7,10.0,0.999999997142857,0,1,3,1,0,0,7,26.67330213571489,0.0,29.02168,20.669321,0
TXN0000059,2024-01-02 05:44:00,BILL_PAYMENT,Electronics,82.76,SUCCESS,26-35,46-55,West Bengal,SBI,Bank of Baroda,Android,WiFi,0,5,Tuesday,0,91,2906.614945054945,2916.7170698583454,10,0,5,60.0,0.14285714244897954,0,1,8,1,2,0,14,39.20949188650486,0.0,29.02168,32.11237,0
TXN0000060,2024-01-02 06:02:46,P2M,Electronics,21.14,SUCCESS,36-45,36-45,Punjab,IndusInd Bank,Kotak Bank,iOS,4G,0,6,Tuesday,0,89,1839.8615730337078,1544.0160231540951,10,0,5,10.0,0.14285714244897954,2,1,5,6,0,1,9,11.986684318133797,0.0,29.02168,6.223245,0
TXN0000061,2024-01-02 06:51:37,MERCHANT,,156712.62,SUCCESS,56+,46-55,Jharkhand,Union Bank,Axis Bank,Android,WiFi,1,6,Tuesday,0,116,15491.21025862069,57873.416172974714,10,1,8,60.0,0.999999997142857,1,8,9,0,2,0,5,79.8083469545976,0.0,95.15171,56.92334,0
TXN0000062,2024-01-02 07:06:27,BILL_PAYMENT,Groceries,4815.96,SUCCESS,26-35,56+,Gujarat,Axis Bank,SBI,Android,5G,0,7,Tuesday,0,99,2366.499090909091,2761.5251199418003,10,0,5,10.0,0.14285714244897954,0,4,0,8,1,0,3,22.846957607795545,0.0,29.02168,10.567354,0
TXN0000063,2024-01-02 07:40:00,MERCHANT,Travel,1415.05,SUCCESS,26-35,46-55,West Bengal,HDFC Bank,ICICI Bank,Android,4G,0,7,Tuesday,0,111,2462.6384684684685,2642.066253727872,10,0,2,60.0,0.14285714244897954,1,7,3,4,0,0,14,19.16051419188392,0.0,29.02168,24.092777,0
TXN0000064,2024-01-02 08:05:15,RECHARGE,Utilities,13543.75,SUCCESS,46-55,36-45,Karnataka,Kotak Bank,Bank of Baroda,iOS,4G,0,8,Tuesday,0,92,21477.33847826087,81185.62101853527,10,0,3,10.0,0.42857142734693876,4,9,6,1,0,1,6,43.880330556356164,0.0,29.02168,21.837847,0
TXN0000065,2024-01-02 08:30:13,P2M,Retail,260.56,SUCCESS,36-45,46-55,Rajasthan,SBI,Canara Bank,Android,WiFi,0,8,Tuesday,0,87,2333.924367816092,2409.9838100477627,10,0,5,60.0,0.28571428489795925,2,6,8,2,2,0,10,23.82222804633497,0.0,29.02168,27.386034,0
TXN0000066,2024-01-02 09:04:01,RECHARGE,Healthcare,1116.92,SUCCESS,46-55,18-25,Gujarat,PNB,IndusInd Bank,iOS,4G,0,9,Tuesday,0,111,33312.69945945946,97494.74939112828,10,0,3,10.0,0.42857142734693876,4,5,7,5,0,1,3,38.661510361517,0.0,29.176643,19.750319,0
TXN0000067,2024-01-02 09:42:56,RECHARGE,Entertainment,2623.59,SUCCESS,36-45,36-45,Haryana,PNB,Bank of Baroda,Android,4G,0,9,Tuesday,0,87,2635.4881609195404,2501.9593535878803,10,0,4,60.0,0.28571428489795925,4,2,7,1,0,0,4,13.755584421455524,0.0,29.02168,23.359377,0
TXN0000068,2024-01-02 10:22:49,RECHARGE,Healthcare,204.13,SUCCESS,26-35,26-35,Andhra Pradesh,PNB,Union Bank,iOS,4G,0,10,Tuesday,0,127,2175.7560629921263,2814.651902473672,10,0,7,10.0,0.0,4,5,7,9,0,1,0,44.095281985548844,0.0,29.02168,17.638113,0
TXN0000069,2024-01-02 10:39:24,P2P,Food,4724.55,SUCCESS,26-35,36-45,Rajasthan,PNB,Kotak Bank,Android,4G,0,10,Tuesday,0,127,2175.7560629921263,2814.651902473672,10,0,7,60.0,0.14285714244897954,3,3,7,6,0,0,10,25.791976961389835,0.0,29.02168,26.745361,0
TXN0000070,2024-01-02 11:14:57,MERCHANT,Education,1258.2,SUCCESS,56+,46-55,Jharkhand,Union Bank,ICICI Bank,iOS,4G,0,11,Tuesday,0,116,15491.21025862069,57873.416172974714,10,0,4,60.0,0.8571428546938777,1,0,9,4,0,1,5,35.29089508033304,0.0,29.02168,37.687786,0
TXN0000071,2024-01-02 11:52:43,BILL_PAYMENT,Food,3252.79,SUCCESS,46-55,18-25,Karnataka,SBI,SBI,Android,4G,0,11,Tuesday,0,104,18325.328461538462,71026.07551179589,10,0,3,10.0,0.5714285697959183,0,3,8,8,0,0,6,22.607229068112346,0.0,29.02168,14.757177,0
TXN0000072,2024-01-02 12:01:31,MERCHANT,Utilities,66.8,SUCCESS,18-25,18-25,Maharashtra,Kotak Bank,IndusInd Bank,iOS,4G,0,12,Tuesday,0,93,2665.4836559139785,2653.8544444759495,10,0,5,10.0,0.42857142734693876,1,9,6,5,0,1,8,10.291567902485028,0.0,29.02168,8.402342,0
TXN0000073,2024-01-02 12:53:10,MERCHANT,Healthcare,6705.58,SUCCESS,36-45,46-55,Jharkhand,ICICI Bank,ICICI Bank,iOS,5G,0,12,Tuesday,0,90,2537.2185555555557,2550.3552750348117,10,0,4,60.0,0.14285714244897954,1,5,4,4,1,1,5,18.720198600063995,0.0,29.02168,23.91665,0
TXN0000074,2024-01-02 13:15:55,BILL_PAYMENT,Education,89.47,SUCCESS,46-55,56+,Maharashtra,Kotak Bank,Bank of Baroda,Android,5G,0,13,Tuesday,0,92,21477.33847826087,81185.62101853527,10,0,4,10.0,0.5714285697959183,0,0,6,1,1,0,8,29.138346398544535,0.0,29.02168,17.369625,0
TXN0000075,2024-01-02 13:54:38,RECHARGE,,1937.45,SUCCESS,56+,46-55,Punjab,Bank of Baroda,Bank of Baroda,Android,WiFi,0,13,Tuesday,0,105,12854.431714285714,65348.16978097511,10,0,7,10.0,0.999999997142857,4,8,1,1,2,0,9,34.93792013307826,0.0,29.02168,23.975168,0
TXN0000076,2024-01-02 14:24:11,P2P,Groceries,1939.52,SUCCESS,46-55,36-45,Bihar,ICICI Bank,Kotak Bank,Android,4G,0,14,Tuesday,0,107,23912.91859813084,81421.32598833223,10,0,4,60.0,0.5714285697959183,3,4,4,6,0,0,1,15.401393396950454,0.0,29.02168,26.874844,0
TXN0000077,2024-01-02 14:38:28,P2M,Education,4223.64,SUCCESS,56+,18-25,West Bengal,Canara Bank,Canara Bank,Android,4G,0,14,Tuesday,0,94,15420.781276595744,71234.88318972202,10,0,7,60.0,0.999999997142857,2,0,2,2,0,0,14,35.64899230924904,0.0,29.02168,39.259598,0
TXN0000078,2024-01-02 15:12:55,BILL_PAYMENT,,1407.21,SUCCESS,18-25,56+,Madhya Pradesh,PNB,Axis Bank,Android,4G,0,15,Tuesday,0,97,2334.385051546392,2223.0787454424008,10,0,7,10.0,0.5714285697959183,0,8,7,0,0,0,7,15.347508181308996,0.0,29.02168,11.853289,0
TXN0000079,2024-01-02 15:30:34,P2M,Electronics,1255.29,SUCCESS,26-35,36-45,Rajasthan,SBI,Union Bank,iOS,4G,0,15,Tuesday,0,91,2906.614945054945,2916.7170698583454,10,0,4,60.0,0.0,2,1,8,9,0,1,10,23.63142129402931,0.0,29.02168,24.452568,0
TXN0000080,2024-01-02 16:03:25,RECHARGE,Healthcare,4023.08,SUCCESS,56+,36-45,Madhya Pradesh,Union Bank,Axis Bank,Android,5G,0,16,Tuesday,0,116,15491.21025862069,57873.416172974714,10,0,4,10.0,0.999999997142857,4,5,9,0,1,0,7,35.2707070876639,0.0,29.02168,24.108282,0
TXN0000081,2024-01-02 16:48:24,MERCHANT,,854.8,SUCCESS,56+,46-55,Karnataka,Axis Bank,PNB,Android,5G,0,16,Tuesday,0,106,12958.41896226415,60820.15668233536,10,0,2,10.0,0.999999997142857,1,8,0,7,1,0,6,32.512693614826595,0.0,29.02168,23.005077,0
